fid,message,to_user,created_date,comments_count,shares_count,likes_count,total_int,emoji,hash_tag,url,text cleaned,readability
100000201925350_10157370777789239,"Tổng kết năm Mậu Tuất :
- (như hình)
Hết !",100000201925350,2019-02-04 05:15:00,19,0,238,257,[],[],[],tổng kết năm mậu tuất như hình hết,10.750842857142857
100000201925350_2517646168252089,29 Tết rồiiiii Tết về rồi hihi 🎋🐷😍,100000201925350,2019-02-03 09:40:00,0,0,33,33,"['🎋', '🐷', '😍']",[],[],tết rôìiiii tết về rồi hihi,9.197433333333333
100000201925350_2517466858270020,1000 mũi tên 1000 cái đích bà con ơi =))),100000201925350,2019-02-03 06:20:00,2,8,37,47,[],[],[],mũi tên cái đích bà con ơi,10.200500000000002
100000201925350_2515873055096067,"Chợt nhận ra năm nay ở HN ăn Tết lâu dài...Tui biết kéo xì dzách với ai đây???
😭😭😭
Mẹ chồng ơi, hội kéo của tui ơiii Dieu Linxi Bich Tram Hồng Anh Đào",100000201925350,2019-02-02 06:01:00,5,0,32,37,"['😭', '😭', '😭']",[],[],chợt nhận ra năm nay ở hn ăn tết lâu dài tui biết kéo xì dzách với ai đây mẹ chồng ơi hội kéo của tui ơiii dieu linxi bich tram hồng anh đào,10.158075
100000201925350_2515074581842581,"“Album nhạc trẻ gồm sáu bài hát Ballad thể hiện tâm trạng đổ vỡ trong tình yêu như: Vì em còn thương, Tình khôn nguôi, Yêu anh hơn chính em... Trong đó có một ca khúc do nhạc sĩ Minh Cường viết riêng cho Lệ Quyên. Ca sĩ hy vọng bài hát trở thành hit sau Giấc mơ có thật hay Hãy trả lời em...”

Ơ ko đâu, có tận 2 bài ạ! TÌNH KHÔN NGUÔI và GIẬN THÌ GIẬN MÀ THƯƠNG THÌ THƯƠNG nhé anh em eiii ☺️
Đĩa bán rồi đó ạ! Album Tình Khôn Nguôi nha anh anh em eiii 😋",100000201925350,2019-02-01 17:33:00,0,0,10,10,"['☺', '😋']",[],[],album nhạc trẻ gồm sáu bài hát ballad thể hiện tâm trạng đổ vỡ trong tình yêu như vì em còn thương tình khôn nguôi yêu anh hơn chính em trong đó có một ca khúc do nhạc sĩ minh cường viết riêng cho lệ quyên ca sĩ hy vọng bài hát trở thành hit sau giấc mơ có thật hay hãy trả lời em ơ ko đâu có tận bài ạ tình khôn nguôi và giận thì giận mà thương thì thương nhé anh em eiii đĩa bán rồi đó ạ album tình khôn nguôi nha anh anh em eiii,10.638970588235296
100000201925350_2514852478531458,"Nếu ko sinh Kaka thì hôm nay cũng là ngày mình giống mng, đi làm nốt ngày cuối của năm để nghỉ Tết. Nhưng dù ở nhà thì mình vẫn thấy ko được vui lắm khi đọc đc những sự chán nản, buồn bực của những người từng bên mình hàng bao nhiêu giờ mỗi ngày vì điều chẳng ai muốn dịp này.
Thôi thì một khi cuộc sống gặp sự cố, ta cứ đành chấp nhận vậy. Lạc quan trước mắt rồi tính sau. Tôn trọng niềm vui của riêng mình trước đã vì Tết đang cận kề lắm rồi mọi người ơi!

Ps: Hình của những ngày còn bầu mà phải bất động ko được đi đâu, tối tối cứ nằm đọc sách giết thời gian và quyển sách kia đã cứu mình rất nhiều thời điểm.",100000201925350,2019-02-01 14:43:00,2,0,35,37,[],[],[],nếu ko sinh kaka thì hôm nay cũng là ngày mình giống mng đi làm nốt ngày cuối của năm để nghỉ tết nhưng dù ở nhà thì mình vẫn thấy ko được vui lắm khi đọc đc những sự chán nản buồn bực của những người từng bên mình hàng bao nhiêu giờ mỗi ngày vì điều chẳng ai muốn dịp này thôi thì một khi cuộc sống gặp sự cố ta cứ đành chấp nhận vậy lạc quan trước mắt rồi tính sau tôn trọng niềm vui của riêng mình trước đã vì tết đang cận kề lắm rồi mọi người ơi ps hình của những ngày còn bầu mà phải bất động ko được đi đâu tối tối cứ nằm đọc sách giết thời gian và quyển sách kia đã cứu mình rất nhiều thời điểm,11.66290975609756
100000201925350_2513167612033278,"Mãi mãi là anh em :)))

- Kaka: Hello 2 anh ✌️
- Vừng: A cho Kaka cây giò ăn Tết nè, mẹ Dương năm nay được vụ son và đồ thiết kế nên a chia quà cho e nhá 😆
- Cây: Còn mẹ Trầm nhà a thì bán sách phất lắm, để a lì xì cho e lấy xiền mua sữa nhé 🤣🤣

Photo by bố Cây Nguyễn Trung Hiếu",100000201925350,2019-01-31 14:26:00,12,0,78,90,"['✌', '😆', '🤣', '🤣']",[],[],mãi mãi là anh em kaka hello anh vừng a cho kaka cây giò ăn tết nè mẹ dương năm nay được vụ son và đồ thiết kế nên a chia quà cho e nhá cây còn mẹ trầm nhà a thì bán sách phất lắm để a lì xì cho e lấy xiền mua sữa nhé photo by bố cây nguyễn trung hiếu,12.55808596491228
100000201925350_2512718002078239,Với những bạn lắm ngấn và hay bị hăm cổ thì bôi gì tốt bây giờ hả các mẹ ơi? Bepathen có ăn thua ko 😭😭😭,100000201925350,2019-01-31 07:25:00,22,0,29,51,"['😭', '😭', '😭']",[],[],với những bạn lắm ngấn và hay bị hăm cổ thì bôi gì tốt bây giờ hả các mẹ ơi bepathen có ăn thua ko,8.116483333333333
100000201925350_2512586488758057,Em nói lèo vãi chưởng ra! E hứa đi show đều mà ăn Tết xong e bầu rồi e lại sinh e nghỉ luôn cả năm đến Tết năm nay ăn xong e chưa gì đã tính nghỉ dài chăm con rồi =))),100000201925350,2019-01-31 04:50:00,2,1,25,28,[],[],[],em nói lèo vãi chưởng ra e hứa đi show đều mà ăn tết xong e bầu rồi e lại sinh e nghỉ luôn cả năm đến tết năm nay ăn xong e chưa gì đã tính nghỉ dài chăm con rồi,9.103271428571428
100000201925350_10157359599439239,"30/01/2010 - 30/01/2019
09 năm nói ngắn không ngắn, dài không dài nhưng đủ sâu đậm để chúng ta có thể hiểu nhau, ở bên cạnh nhau, san sẻ cho nhau tất cả mọi thứ trong cuộc sống. Cảm ơn em đã đến và làm cuộc đời anh thay đổi rất nhiều theo chiều hướng tốt, anh yêu em rất nhiều, vợ của anh - Đinh Hoài Thu.",100000201925350,2019-01-30 12:03:00,4,0,149,153,[],[],[],năm nói ngắn không ngắn dài không dài nhưng đủ sâu đậm để chúng ta có thể hiểu nhau ở bên cạnh nhau san sẻ cho nhau tất cả mọi thứ trong cuộc sống cảm ơn em đã đến và làm cuộc đời anh thay đổi rất nhiều theo chiều hướng tốt anh yêu em rất nhiều vợ của anh đinh hoài thu,7.430315384615384
100000201925350_2508680779148628,"Cứ đến đêm Kaka đi ngủ là đt mẹ ting ting có khách đặt son :)) Okela thế chứ lại haha
Chị e mua NOS ko chì siêu lì đẹp bền bỉ 333K/thỏi đi nào 💄💄💄
Caramel-Merlot-Dahlia
Cam đất - Đỏ rịu - Hồng đất",100000201925350,2019-01-28 17:17:00,1,0,23,24,"['💄', '💄', '💄']",[],[],cứ đến đêm kaka đi ngủ là đt mẹ ting ting có khách đặt son okela thế chứ lại haha chị e mua nos ko chì siêu lì đẹp bền bỉ thỏi đi nào caramel merlot dahlia cam đất đỏ rịu hồng đất,13.263464102564102
100000201925350_2508051375878235,"Nguyen Minh Cuong sợ bị phạt ko =))))
haha mấy bài báo gần tết năm nay nhiều kiểu thật sự :))",100000201925350,2019-01-28 08:05:00,7,0,26,33,[],[],[],nguyen minh cuong sợ bị phạt ko haha mấy bài báo gần tết năm nay nhiều kiểu thật sự,8.03818888888889
100000201925350_2507126185970754,"Mở bán #creamlipstick của NOS với giá 333K/thỏi nhé các mẹ ơi! Thu bán...nguyên văn là Thu bán nhé 😆😆😆

Các mẹ đặt hàng chơi Tết điiiii
Đặc biệt là các mẹ bầu vì đây là son ko chì, hồi bầu Thu chỉ đánh son của Nos thôi đấy ạ 👌
3 màu mới này xứng đáng đồng tiền bản mặt lắm luôn 👍",100000201925350,2019-01-27 16:32:00,3,1,11,15,"['😆', '😆', '😆', '👌', '👍']",['creamlipstick'],[],mở bán của nos với giá thỏi nhé các mẹ ơi thu bán nguyên văn là thu bán nhé các mẹ đặt hàng chơi tết điiiii đặc biệt là các mẹ bầu vì đây là son ko chì hồi bầu thu chỉ đánh son của nos thôi đấy ạ màu mới này xứng đáng đồng tiền bản mặt lắm luôn,8.948584615384615
100000201925350_2506916399325066,"Have ever you tried to play with your lipstick?
Now you can do it with new collection of NOS cosmetics 💋💄

Các nàng ơi, thỏi son kem lần này của Nos rất tuyệt vời đấy! Thương hiệu son handmade mang chất lượng sánh ngang với mấy thỏi hàng hịu mà mình dùng ạ 👌 Đã thế cái hộp quà trông nó có xịn sò ko cơ chứ, cảm giác được nâng niu trân trọng vô cùng :)) Với 1 tâm hồn của ng phụ nữ mới sinh này thì đây thực sự là cực phẩm haha.

Bàn đến màu son nhé!
#Caramel đánh lên môi cứ mịn màng và mang màu sắc như 1 viên kẹo appenlibe huyền thoại đang tan chảy vậy 😍
#Merlot toả hương vani dịu ngọt cùng sắc đỏ ruby xuất sắc làm mình chỉ muốn trở về thời son rỗi, oánh son rồi lên đường rủ chồng đi ún rịu vang ngay lập tức 😜
#Dahlia thì ôi giồi ôi, sao lại trúng tim đen thế! Đang định mua mấy thỏi hồng hào chào năm mới thì nghỉ luôn. Năm nay đánh Nos Dahlia vì màu hợp môi và chất son hợp ý 😘

Haizz khen thế thôi nhỉ chứ nói nữa anh em lại bảo “son bạn thân nó làm lại chả khen” 🙄
Ai ko tin nghĩ mình chém gió thì chin mời mua ngay mà xem nhé! Chứ cái tầm này mình nghĩ chẳng mấy chốc nó bán xừ hết trước Tết ko có hàng nữa đâu vì bây h nó giàu rồi, sản xuất son theo nhà máy cơ chứ ko ngồi ở nhà đổ son bằng tay cho các mẹ đâu nhé :)))

À còn câu cuối, chốt lại là e thích quá nên e bảo nó cho son ập đến nhà mình để bán r =))
Ai thích như e thì inbox đặt hàng e bán cho nhé là lá laaaaaa..
Ai làm đại lý hay ctv phía Nam thì cũng inbox e luôn e dẫn lối cho nha li la li la..",100000201925350,2019-01-27 14:30:00,6,0,18,24,"['💋', '💄', '👌', '😍', '😜', '😘', '🙄']","['Caramel', 'Merlot', 'Dahlia']",[],have ever you tried to play with your lipstick now you can do it with new collection of nos cosmetics các nàng ơi thỏi son kem lần này của nos rất tuyệt vời đấy thương hiệu son handmade mang chất lượng sánh ngang với mấy thỏi hàng hịu mà mình dùng ạ đã thế cái hộp quà trông nó có xịn sò ko cơ chứ cảm giác được nâng niu trân trọng vô cùng với tâm hồn của ng phụ nữ mới sinh này thì đây thực sự là cực phẩm haha bàn đến màu son nhé đánh lên môi cứ mịn màng và mang màu sắc như viên kẹo appenlibe huyền thoại đang tan chảy vậy tỏa hương vani dịu ngọt cùng sắc đỏ ruby xuất sắc làm mình chỉ muốn trở về thời son rỗi oánh son rồi lên đường rủ chồng đi ún rịu vang ngay lập tức thì ôi giồi ôi sao lại trúng tim đen thế đang định mua mấy thỏi hồng hào chào năm mới thì nghỉ luôn năm nay đánh nos vì màu hợp môi và chất son hợp ý haizz khen thế thôi nhỉ chứ nói nữa anh em lại bảo son bạn thân nó làm lại chả khen ai ko tin nghĩ mình chém gió thì chin mời mua ngay mà xem nhé chứ cái tầm này mình nghĩ chẳng mấy chốc nó bán xừ hết trước tết ko có hàng nữa đâu vì bây h nó giàu rồi sản xuất son theo nhà máy cơ chứ ko ngồi ở nhà đổ son bằng tay cho các mẹ đâu nhé à còn câu cuối chốt lại là e thích quá nên e bảo nó cho son ập đến nhà mình để bán r ai thích như e thì inbox đặt hàng e bán cho nhé là lá laaaaaa ai làm đại lý hay ctv phía nam thì cũng inbox e luôn e dẫn lối cho nha li la li la,22.682299312714775
100000201925350_2505377929478913,"Nghiện con quá các bác ơiii!
Trvia ông con mới 3m mà lém lỉnh xong trông nó “đáng ghét” khủng khíp nữa chứ 😆😆😆
Mình phục mình thật đấy haha",100000201925350,2019-01-26 14:20:00,6,0,111,117,"['😆', '😆', '😆']",[],[],nghiện con quá các bác ơiii trvia ông con mới mà lém lỉnh xong trông nó đáng ghét khủng khíp nữa chứ mình phục mình thật đấy haha,8.484588888888888
100000201925350_2504904179526288,"Yêu sao các cầu thủ ơi <3
Hình ảnh đất nước đáng tự hào đến từ những hành động nhỏ đơn thuần như trong cuộc sống của chúng ta đấy thôi!
Bài học đơn giản ai cũng được dạy mà mấy ai lớn lên thực hiện đầy đủ nhỉ? Bố mẹ dạy ngủ dậy phải gấp chăn màn, bàn ăn xong thì dọn còn nhà đi bẩn phải quét. Cô giáo cũng dạy khản cả cổ chuyện vứt rác đúng nơi, trực tuần sạch sẽ đó!
Các cầu thủ hầu như ko mấy ai lớn lên ở thành phố mà lại còn chẳng mang mác sách vở gì nhưng họ văn minh đỉnh điểm thế này cơ mà 👍👍👍
Ai vẫn còn thiếu ý thức trong đời sống về chuyện bừa bãi thì học tập đi nhá!",100000201925350,2019-01-26 07:14:00,2,1,64,67,"['👍', '👍', '👍']",[],[],yêu sao các cầu thủ ơi < hình ảnh đất nước đáng tự hào đến từ những hành động nhỏ đơn thuần như trong cuộc sống của chúng ta đấy thôi bài học đơn giản ai cũng được dạy mà mấy ai lớn lên thực hiện đầy đủ nhỉ bố mẹ dạy ngủ dậy phải gấp chăn màn bàn ăn xong thì dọn còn nhà đi bẩn phải quét cô giáo cũng dạy khản cả cổ chuyện vứt rác đúng nơi trực tuần sạch sẽ đó các cầu thủ hầu như ko mấy ai lớn lên ở thành phố mà lại còn chẳng mang mác sách vở gì nhưng họ văn minh đỉnh điểm thế này cơ mà ai vẫn còn thiếu ý thức trong đời sống về chuyện bừa bãi thì học tập đi nhá,11.224130769230769
100000201925350_2503776072972432,❤️ Ba Kaka,100000201925350,2019-01-25 14:05:00,1,2,15,18,['❤'],[],[],ba kaka,11.630700000000001
100000201925350_2503262516357121,"🔥 Chính thức công bố Mã lì xì 100 triệu đồng: ""Ví MoMo, **** **** Và **** ***

Ô chữ còn trống là 02 ưu điểm nổi bật của Ví MoMo. Lưu ý: Mã bao gồm tiếng Việt có dấu, có khoảng cách và chỉ viết hoa chữ cái đầu của mỗi từ.

🔥 Đúng 15h30 hôm nay: mở ngay Ví MoMo và nhập mã để nhận bao lì xì khủng nhé. Nhanh tay thì được nhiều, chậm tay thì ít. Đừng bỏ lỡ!

👉 Chương trình chỉ dành cho khách hàng đã liên kết Ví MoMo với tài khoản ngân hàng. Tải Ví MoMo và liên kết ngân hàng ngay để nhận lì xì khủng từ Ví MoMo.

Xem cách nhập mã lì xì ngay nhé!

▶️Xem chi tiết chương trình tại: https://momo.vn/lixi
#vimomo #lacxi #12congiap #cungchia5ty #lacheovang #lixi",100000201925350,2019-01-25 05:52:00,0,0,1,1,"['🔥', '🔥', '👉', '▶']","['vimomo', 'lacxi', '12congiap', 'cungchia5ty', 'lacheovang', 'lixi']",['https://momo.vn/lixi'],chính thức công bố mã lì xì triệu đồng ví momo và ô chữ còn trống là ưu điểm nổi bật của ví momo lưu ý mã bao gồm tiếng việt có dấu có khoảng cách và chỉ viết hoa chữ cái đầu của mỗi từ đúng hôm nay mở ngay ví momo và nhập mã để nhận bao lì xì khủng nhé nhanh tay thì được nhiều chậm tay thì ít đừng bỏ lỡ chương trình chỉ dành cho khách hàng đã liên kết ví momo với tài khoản ngân hàng tải ví momo và liên kết ngân hàng ngay để nhận lì xì khủng từ ví momo xem cách nhập mã lì xì ngay nhé chi tiết chương trình tại,10.1755
100000201925350_2501872469829459,Huhu tui muốn mua bộ này cho con tui mà nỡ lòng nào các shop lại hết. Ai bán còn size 6-9m thì cmt cho mình ngay và luôn để mình mua nhaaaaaaa 😭😭😭,100000201925350,2019-01-24 07:44:00,4,0,22,26,"['😭', '😭', '😭']",[],[],huhu tui muốn mua bộ này cho con tui mà nỡ lòng nào các shop lại hết ai bán còn size m thì cmt cho mình ngay và luôn để mình mua nhaaaaaaa,8.62269393939394
100000201925350_2501557083194331,"Tìm kiếm ca sĩ nhí hát bolero & dân ca các bác ơiii 🎤🎤
Các bác tag tên giới thiệu cho chồng e làm dự án với ạ 😃",100000201925350,2019-01-24 01:41:00,0,0,5,5,"['🎤', '🎤', '😃']",[],[],tìm kiếm ca sĩ nhí hát bolero dân ca các bác ơiii các bác tag tên giới thiệu cho chồng e làm dự án với ạ,8.43762380952381
100000201925350_2500759466607426,"BST son mới nhất đến từ NOS cosmetic bà con ơi! Chất chơi người dơi ko ☺️👌😍
Và sự thật là mình cbi làm thuê cho con bạn thân Nguyễn Thuỳ Dương bán son nhé :))
Các mẹ các chị e đặt hàng điiii...MÌNH BÁN SON cho nèeeeeee 💃🏻💃🏻💃🏻 Son kem 3 màu như hình nhá!",100000201925350,2019-01-23 14:27:00,2,0,5,7,"['☺', '👌', '😍', '💃', '🏻', '💃', '🏻', '💃', '🏻']",[],[],bst son mới nhất đến từ nos cosmetic bà con ơi chất chơi người dơi ko và sự thật là mình cbi làm thuê cho con bạn thân nguyễn thùy dương bán son nhé các mẹ các chị e đặt hàng điiii mình bán son cho neèeeeee son kem màu như hình nhá,10.91023023255814
